id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
808 D41c,Cambam Balí,"Díaz Díaz, Oswaldo",Instituto Colombiano de Cultura,102,-,1,f,080C
986 D25h2,Historias y Leyendas de Cartagena II,"Delgado, Camilo S.",Instituto Colombiano de Cultura,80,-,1,f,081C
C861 S45a,Antología de Verso y Prosa,"Silva, José Asunción",Instituto Colombiano de Cultura,112,-,1,f,082C
C862 R29v,"Viejos baúles Empolvados Que Nuestros Padres Nos Prohibieron Abrir, Los","Reyes, Carlos José",Instituto Colombiano de Cultura,96,-,1,f,083C
986 V15c,Cita de los Aventureros,"Vallejo, Alejandro",Instituto Colombiano de Cultura,152,-,2,f,086C
843 B15b2,"Búsqueda de lo Absoluto II, La","Balzac, Honorato de",Instituto Colombiano de Cultura,176,-,1,f,018C
986.102 F67n,Narraciones Históricas Curiosas,"Forero, Manuel José",Instituto Colombiano de Cultura,128,-,1,f,031C
A861 H27g,"Gaucho Martín Fierro, El","Hernández, José",Instituto Colombiano de Cultura,112,-,1,f,032C
B869.3 A66c,Cuentos Brasileños. Selección,"Assis, Machado de",Instituto Colombiano de Cultura,168,-,1,f,034C
986.102 M66e,Estampas Españolas,"Montezuma Hurtado, Alberto",Instituto Colombiano de Cultura,136,-,1,f,035C
843 P76c,Crónicas,"Proust, Marcel",Instituto Colombiano de Cultura,72,-,1,f,037C
923 M66c1,"Criolla Policarpa Salavarrieta I, La","Montoya de Umaña, Enriqueta",Instituto Colombiano de Cultura,144,-,1,f,038C
923 M66c2,"Criolla Policarpa Salavarrieta II, La","Montoya de Umaña, Enriqueta",Instituto Colombiano de Cultura,136,-,1,f,039C
863 P17a,"Animales Cautivos, Los - Oficios Infantiles, Los","Paredes Pardo, Jaime",Instituto Colombiano de Cultura,80,-,1,f,040C
C868 P27h,"Haciendas de la Sabana a Vuela Pluma, Las","Perdomo E., José Ignacio",Instituto Colombiano de Cultura,152,-,1,f,041C
923 J17v,Vida de Porfirio Barba Jacob,"Jaramillo Meza, Juan B.",Instituto Colombiano de Cultura,160,-,1,f,042C
C862 D41b,"Blondinette - Gaitana, La",Díaz Díaz Oswaldo,Instituto Colombiano de Cultura,152,-,1,f,043C
Pe863 L67c,Cuentos Peruanos. Antología,"López Albújar, Enrique",Instituto Colombiano de Cultura,176,-,1,f,044C
923 L69m,Mis Contemporáneos,"Lozano y Lozano, Juan",Instituto Colombiano de Cultura,176,-,1,f,045C
361.5 M86l,Lucha Contra el Hambre,"Muñoz Quevedo, Josue",Instituto Colombiano de Cultura,104,-,1,f,046C
863 C27i1,"Ingenioso Hidalgo Don Quijote de la Mancha I, El","Cervantes Saavedra, Miguel de",Instituto Colombiano de Cultura,216,-,1,f,049C
701 M66q,¿Qué es arte?,"Montaña, Antonio",Instituto Colombiano de Cultura,96,-,1,f,051C
C861 G72s,Selección de Poemas,"Greiff, León de",Instituto Colombiano de Cultura,128,-,1,f,052C
822 S31 h,Hamlet,"Shakespeare, William",Instituto Colombiano de Cultura,232,-,1,f,053C
E863 I11 c,Cuentos Ecuatorianos II,"Icaza, Jorge",Instituto Colombiano de Cultura,128,-,1,f,054C
917.081 G17r,Rastro de América,"García Peña, Roberto",Instituto Colombiano de Cultura,128,-,1,f,055C
301.153 C45h,Hombre en el Mundo de la Máquinas,CIMPEC - O.E.A.,Instituto Colombiano de Cultura,96,-,1,f,056C
C861 H69c,Cantos Intemporales,"Hoyos Parra, Dorian",Al Revés,98,-,1,f,-
C863 B94o,"Otra Gente, La","Buitrago, Fanny",Instituto Colombiano de Cultura,192,-,1,f,089C
833 S13g,Guillermo Tell,"Schiller, Federico",Instituto Colombiano de Cultura,112,-,1,f,090C
C863 C17c,Cuentos Colombianos. Antología,"Carrasquilla, Tomás",Instituto Colombiano de Cultura,200,-,1,f,091C
808 C17c,Cantos a Bolívar. Antología,"Carranza, Eduardo",Instituto Colombiano de Cultura,208,-,1,f,092C
C862 L25i,"Ifigenia - Aventura de Don Melón y Doña Endrina, La","Lemaitre, Eduardo",Instituto Colombiano de Cultura,148,-,1,f,093C
869.3 A55c,Cuentos Portugueses. Antología,"Almeida, Viana de",Instituto Colombiano de Cultura,144,-,1,f,094C
C868 A71t2,Transparencias de Colombia II,"Arciniegas, Germán",Instituto Colombiano de Cultura,128,-,1,f,095C
C863 P46q,Quiriley,"Piñeros Corpas, Joaquín",Instituto Colombiano de Cultura,72,-,1,f,097C
925 B18c,Copérnico,"Bateman, Alfredo D.",Instituto Colombiano de Cultura,136,-,1,f,098C
